# Exceptional primes of alpha = pi/10   (equivalently alpha0 = 299 + pi/10)
# Condition:  ||p * pi/10|| < 1/p     ( ||x|| = distance to nearest integer )
# Bound:      p <= 10^4000
# Method:     exact CF convergents + upper-semiconvergents of pi/10;
#             integer exceptional test; primality by trial division + sympy BPSW.
# pi:         8300 decimal digits (integer Chudnovsky); |pi/10 - Aa/Ba| < 10^-8301.
# CF(pi/10):  [0, 3, 5, 2, 5, 1, 733, 11, 1, 1, 3, 2] ...
# Completeness: by Legendre/best-approximation theory every q with
#             ||q*alpha|| < 1/q is a convergent or upper-semiconvergent of
#             pi/10; all of these <= bound are enumerated and tested exactly.
# Decision certificate: for every candidate |Ba - q*nn| > q^2, while the
#             pi-truncation perturbs the test value by < q^2/Ba; min margin
#             ~ 10^8295 >> threshold 10^8000, so the
#             rational test provably agrees with true pi/10 over the whole range.
# Primality:  BPSW (sympy.isprime) -- no known counterexample, but NOT a formal
#             primality certificate for the large (3000+ digit) entries.
# Count:      20
#
# idx  digits   ||p*pi/10||     prime
  1      1     3.71681e-1   2
  2      1     5.75222e-2   3
  3      2     3.09739e-2   19
  4      3     4.41968e-3   191
  5     13    3.81503e-14   3993746143633
  6     16    2.40365e-16   3224057731518397
  7     24    2.28354e-25   631474305334326148720631
  8     35    3.39050e-35   10531012662744699702276055940873441
  9     76    5.71819e-77   7636555027432923863312169609913906090197116602178849909577286785274704893143
 10     95    9.49034e-96   87822897782612089843088068136934122363312892067153018380336937993152371200023738886462065410669
 11    111   1.10350e-111   489830773366832287908041171166746363855000455903620913424680848223139152306779156690509681130054438692784889819
 12    372   2.69650e-372   194626099310997110938210925791949295013279052354048346767937691595958818161624854403607763760991570644474317687401491223892762314336645116784532070608792052206392989326484304614382615552891031623493624078241673552096201202897694014005420842236264074993586057129649528307500466627458133004506302933715122937027649129823636590695809552729869219521847781120340697516236611721
 13    859   6.06849e-860   8832160994053377551885204222395439141716625508256379383446041729828215357933783383413805162898483255296491710298041747773005365983229147014192830357244326235752731650861952150366246900586955874058096770882621877823015962648610008735364315562851445608693239433914129565200420843905412628231715752712035166605929400092185465194389835205501727169107367173096239661970422052852367769490304016874820123018050702565117462535652781190178794821401069068434767965624968034140329409201782746528337751193418964787644189030139950627311737814129621160507964067671178245280059153523683762496347055472812474623065686980133370730006587284603331647896964585861146129342488667977509640567422998192587100933506100655129067289667941533949345524429348820268526419738174854305304810294917854074560114901279566853781631890221634535069515499793566595129271992793502091597058013286951
 14   1025   7.49961e-1027   19681903024283226243914354635652497423392903128545214789504329573991214887405398684589097219109495145318546680668500962252026254425429408593747017153114666249574848018321703773414787299036638831932542757248353898839710298033779955130641934413093181295726629563248770070666309142845249794959884920893583306889911982219363380573704095191859540684937482124159673759320363219649410164822207777652849957673160789552100256623305481133579656736910575933370333616153449061242580016175493840985395148631125109116730173790384904518019925298726318721366410621040962382312647879957319210610726389675460935065183856218403637800422309178330623979081750635458566826454133894189975766139909974850392692922717827559504299732564227100811966382933812561924146794391151177743744042942125590337139638850427934127902256971659491561905093478419618853631688097758339597885418729749736305150614352908862519397897164711883098004704627249298024319801060611767338293802574710063708992615591073257220684343076883810645772769673452173418581771591371595031
